abstract,abstracto
assert,afirmar
boolean,booleano
break,cortar
byte,byte
case,caso
catch,atrapar
char,car
class,clase
continue,continuar
default,default
do ,hacer
double,doble
else,sino
extends,extiende
finally,finalmente
float,flot
for,por
goto,ira
if,si
implements,implementa
import,importar
instanceof,instanciade
int,ent 
native,nativo
new,nuevo
package,paquete
private,privada
protected,protegida
public,publica
return,volver
short,corto
static,estatica
strictfp,pfestricto
switch,cambiar
synchronized,synchronizado
this,este
throw,lanzar
throws,lanza
transient,transiente
try,tratar
void,nada
volatile,volátil
while,mientras
false,falso
null,nulo
true,cierto
